All Data,,,,https://docs.google.com/spreadsheets/d/1h0duUBjW9TodESqnlJPdLuK9jl0RrSVYBI7R_S05M0M/edit#gid=2025921830,Filtered Data,,Full Data,,,First 2 Lines,,,First 3 Lines,,,First 4 Lines,
Weekday,Formation,Region,Patpm,,,,Weekday,Count,,Weekday,Count,,Weekday,Count,,Weekday,Count
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
